,date,location,time,PM2.5
687,2016/01/29,中壢,15.0,18
688,2016/01/29,中壢,16.0,16
689,2016/01/29,中壢,17.0,19
690,2016/01/29,中壢,18.0,12
691,2016/01/29,中壢,19.0,10
692,2016/01/29,中壢,20.0,5
693,2016/01/29,中壢,21.0,12
694,2016/01/29,中壢,22.0,10
695,2016/01/29,中壢,23.0,5
696,2016/01/30,中壢,0.0,6
697,2016/01/30,中壢,1.0,10
698,2016/01/30,中壢,2.0,9
699,2016/01/30,中壢,3.0,11
700,2016/01/30,中壢,4.0,6
701,2016/01/30,中壢,5.0,1
702,2016/01/30,中壢,6.0,9
